Song
Aayega Aanewala ~ Mahal (1949)
Tere Bina Aag Yeh Chandni ~ Awara (1951)
Aaja Re Pardesi ~ Madhumati (1955)
Lag Jaa Gale ~ Woh Kaun Thi? (1964)
Gumnaam Hai Koi ~ Gumnaam (1965)
Mera Saaya ~ Mera Saaya (1966)
Sansaar Ki Har Shay ~ Dhund (1973)
Jaadu Teri Nazar ~ Darr (1993)
Who’s that? ~Kaun (1999)
Aapke Pyaar Mein ~ Raaz (2002)
Mere Dholna ~ Bhool Bhulaiyaa (2007)
Muskaanein Jhooti Hai ~ Talaash (2012)
Lori of death ~ Ragini MMS 2 (2014)
Bhoot Hu Main’ - ‘Bhoot’ (2003)
‘Suna Suna’ - ‘Krishna Cottage’ (2004)
Shaitaan - Shaitaan(2024)
